teacher_1,teacher_2,distance
T01,T01,0
T01,T02,0.387628
T01,T03,1
T01,T04,0.764298
T01,T05,0.5
T01,T06,0.764298
T01,T07,0.817426
T01,T08,0.591752
T01,T09,0.634852
T01,T10,0.795876
T01,T11,1
T01,T12,0.833333
T01,T13,0.833333
T01,T14,1
T01,T15,0.634852
T01,T16,0.591752
T01,T17,1
T01,T18,0.42265
T01,T19,0.566987
T01,T20,0.591752
T01,T21,1
T01,T22,0.845697
T01,T23,0.795876
T01,T24,0.666667
T01,T25,0.591752
T01,T26,0.845697
T01,T27,0.53709
T01,T28,0.634852
T01,T29,0.666667
T01,T30,0.833333
T01,T31,0.228483
T01,T32,1
T01,T33,0.42265
T01,T34,0.845697
T01,T35,0.795876
T02,T01,0.387628
T02,T02,0
T02,T03,1
T02,T04,0.711325
T02,T05,0.795876
T02,T06,1
T02,T07,0.776393
T02,T08,0.75
T02,T09,0.776393
T02,T10,0.75
T02,T11,0.75
T02,T12,0.591752
T02,T13,0.591752
T02,T14,1
T02,T15,0.776393
T02,T16,0.75
T02,T17,1
T02,T18,0.646447
T02,T19,0.646447
T02,T20,0.75
T02,T21,0.776393
T02,T22,0.811018
T02,T23,1
T02,T24,0.591752
T02,T25,0.5
T02,T26,0.811018
T02,T27,0.811018
T02,T28,0.552786
T02,T29,0.795876
T02,T30,0.795876
T02,T31,0.433053
T02,T32,0.776393
T02,T33,0.646447
T02,T34,0.622036
T02,T35,0.75
T03,T01,1
T03,T02,1
T03,T03,0
T03,T04,0.666667
T03,T05,0.764298
T03,T06,0.666667
T03,T07,0.741801
T03,T08,0.42265
T03,T09,0.741801
T03,T10,1
T03,T11,0.42265
T03,T12,1
T03,T13,0.292893
T03,T14,0.711325
T03,T15,0.741801
T03,T16,1
T03,T17,0.528595
T03,T18,1
T03,T19,0.795876
T03,T20,0.711325
T03,T21,0.483602
T03,T22,0.563564
T03,T23,1
T03,T24,0.764298
T03,T25,0.80755
T03,T26,0.563564
T03,T27,1
T03,T28,0.741801
T03,T29,0.764298
T03,T30,0.528595
T03,T31,0.781782
T03,T32,0.483602
T03,T33,0.795876
T03,T34,0.781782
T03,T35,0.42265
T04,T01,0.764298
T04,T02,0.711325
T04,T03,0.666667
T04,T04,0
T04,T05,0.764298
T04,T06,0.333333
T04,T07,0.741801
T04,T08,1
T04,T09,0.741801
T04,T10,1
T04,T11,1
T04,T12,0.528595
T04,T13,0.292893
T04,T14,1
T04,T15,0.483602
T04,T16,1
T04,T17,0.764298
T04,T18,1
T04,T19,0.795876
T04,T20,1
T04,T21,1
T04,T22,0.563564
T04,T23,1
T04,T24,0.528595
T04,T25,0.80755
T04,T26,0.781782
T04,T27,0.781782
T04,T28,0.483602
T04,T29,0.292893
T04,T30,0.528595
T04,T31,0.563564
T04,T32,0.741801
T04,T33,0.387628
T04,T34,0.345346
T04,T35,1
T05,T01,0.5
T05,T02,0.795876
T05,T03,0.764298
T05,T04,0.764298
T05,T05,0
T05,T06,0.528595
T05,T07,0.452277
T05,T08,0.591752
T05,T09,0.087129
T05,T10,0.591752
T05,T11,0.795876
T05,T12,0.833333
T05,T13,0.833333
T05,T14,0.591752
T05,T15,0.452277
T05,T16,0.183503
T05,T17,0.5
T05,T18,0.42265
T05,T19,0.42265
T05,T20,0.591752
T05,T21,0.817426
T05,T22,0.382787
T05,T23,0.591752
T05,T24,0.5
T05,T25,0.591752
T05,T26,0.53709
T05,T27,0.691393
T05,T28,0.634852
T05,T29,0.5
T05,T30,0.5
T05,T31,0.382787
T05,T32,0.634852
T05,T33,0.278312
T05,T34,0.691393
T05,T35,0.795876
T06,T01,0.764298
T06,T02,1
T06,T03,0.666667
T06,T04,0.333333
T06,T05,0.528595
T06,T06,0
T06,T07,0.741801
T06,T08,0.711325
T06,T09,0.741801
T06,T10,1
T06,T11,1
T06,T12,0.764298
T06,T13,0.528595
T06,T14,1
T06,T15,0.483602
T06,T16,1
T06,T17,0.764298
T06,T18,1
T06,T19,0.591752
T06,T20,0.711325
T06,T21,1
T06,T22,0.563564
T06,T23,1
T06,T24,0.528595
T06,T25,0.80755
T06,T26,0.563564
T06,T27,1
T06,T28,0.483602
T06,T29,0.292893
T06,T30,0.292893
T06,T31,0.781782
T06,T32,0.741801
T06,T33,0.387628
T06,T34,0.563564
T06,T35,1
T07,T01,0.817426
T07,T02,0.776393
T07,T03,0.741801
T07,T04,0.741801
T07,T05,0.452277
T07,T06,0.741801
T07,T07,0
T07,T08,0.776393
T07,T09,0.4
T07,T10,0.776393
T07,T11,0.776393
T07,T12,0.634852
T07,T13,0.817426
T07,T14,0.776393
T07,T15,0.4
T07,T16,0.552786
T07,T17,0.452277
T07,T18,0.683772
T07,T19,0.525658
T07,T20,0.776393
T07,T21,0.8
T07,T22,0.661938
T07,T23,0.552786
T07,T24,0.634852
T07,T25,0.254644
T07,T26,0.492907
T07,T27,0.492907
T07,T28,0.6
T07,T29,0.452277
T07,T30,0.634852
T07,T31,0.492907
T07,T32,0.4
T07,T33,0.367544
T07,T34,0.492907
T07,T35,0.552786
T08,T01,0.591752
T08,T02,0.75
T08,T03,0.42265
T08,T04,1
T08,T05,0.591752
T08,T06,0.711325
T08,T07,0.776393
T08,T08,0
T08,T09,0.776393
T08,T10,1
T08,T11,0.5
T08,T12,1
T08,T13,0.591752
T08,T14,0.75
T08,T15,0.776393
T08,T16,0.75
T08,T17,0.795876
T08,T18,0.646447
T08,T19,0.823223
T08,T20,0.25
T08,T21,0.552786
T08,T22,0.811018
T08,T23,1
T08,T24,0.795876
T08,T25,0.833333
T08,T26,0.622036
T08,T27,1
T08,T28,0.776393
T08,T29,0.795876
T08,T30,0.591752
T08,T31,0.811018
T08,T32,0.776393
T08,T33,0.646447
T08,T34,1
T08,T35,0.25
T09,T01,0.634852
T09,T02,0.776393
T09,T03,0.741801
T09,T04,0.741801
T09,T05,0.087129
T09,T06,0.741801
T09,T07,0.4
T09,T08,0.776393
T09,T09,0
T09,T10,0.552786
T09,T11,0.776393
T09,T12,0.817426
T09,T13,0.817426
T09,T14,0.552786
T09,T15,0.6
T09,T16,0.105573
T09,T17,0.452277
T09,T18,0.367544
T09,T19,0.525658
T09,T20,0.776393
T09,T21,0.8
T09,T22,0.323877
T09,T23,0.552786
T09,T24,0.634852
T09,T25,0.552786
T09,T26,0.661938
T09,T27,0.661938
T09,T28,0.8
T09,T29,0.634852
T09,T30,0.634852
T09,T31,0.323877
T09,T32,0.6
T09,T33,0.367544
T09,T34,0.661938
T09,T35,0.776393
T10,T01,0.795876
T10,T02,0.75
T10,T03,1
T10,T04,1
T10,T05,0.591752
T10,T06,1
T10,T07,0.776393
T10,T08,1
T10,T09,0.552786
T10,T10,0
T10,T11,0.75
T10,T12,0.795876
T10,T13,1
T10,T14,0.5
T10,T15,0.776393
T10,T16,0.5
T10,T17,0.387628
T10,T18,1
T10,T19,0.46967
T10,T20,1
T10,T21,0.776393
T10,T22,0.622036
T10,T23,0.75
T10,T24,0.795876
T10,T25,0.5
T10,T26,0.811018
T10,T27,0.811018
T10,T28,1
T10,T29,0.795876
T10,T30,0.795876
T10,T31,0.622036
T10,T32,0.776393
T10,T33,0.823223
T10,T34,0.811018
T10,T35,1
T11,T01,1
T11,T02,0.75
